Age Range,Industry, Job title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
35-44,Consulting,Owner,250000,50000,United StatesD,United States,Utah,Salt Lake,8 - 10 years,5 - 7 years,Some college,Man
35-44,Computing Or Tech,Solutions Architect,250000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Man
35-44,Computing Or Tech,Product Management Leader,243000,150000,United StatesD,United States,New York,New York,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Law,Attorney ,240000,40000,United StatesD,United States,California,San Francisco ,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Art & Design,Founder,240000,0,United StatesD,United States,Michigan,Detroit,8 - 10 years,1 year or less,PhD,Woman
25-34,Health Care,Director,237000,55000,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Associate General Counsel,235000,0,United StatesD,United States,Virginia,Falls Church,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing Or Tech,Senior Engineering Manager,235000,170000,United StatesD,United States,Michigan,Full remote position,8 - 10 years,5 - 7 years,College degree,Man
35-44,Retail,Bunited Statessiness Assistant,233160,9407,Other,Czech Republic,Unknown,Chomutov,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Pharmaceutical Development,"Director, Medical Affairs",230000,65000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Law,Associate,230000,60000,United StatesD,United States,Illinois,Chicago,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Insurance,Senior Back-End Software Engineer,228800,0,United StatesD,United States,Michigan,Lake Orion,8 - 10 years,2 - 4 years,Master's degree,Man
35-44,Law,5Th Year Associate At Law Firm ,226000,0,United StatesD,United States,Maryland,Baltimore,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Health Care,Academic Oncologist,225000,0,United StatesD,United States,New York,Rochester,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Health Care,Physician,220000,0,United StatesD,United States,Virginia,Richmond VA,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,"Leisure, Sport & Tourism",Vp,215000,14000,United StatesD,United States,District of Columbia,Washington,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Product Manager,212000,140000,United StatesD,United States,California,San Francisco,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing Or Tech,Managing Director,210000,0,United StatesD,United States,Arizona,Phoenix,8 - 10 years,11 - 20 years,Master's degree,Woman
25-34,Computing Or Tech,"Manager, Program Management",210000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,"Marketing, Advertising & Pr",Senior Product Marketing Manager,210000,35000,United StatesD,United States,California,San Francisco,8 - 10 years,2 - 4 years,Master's degree,Man
35-44,"Accounting, Banking & Finance",Manager,210000,5000,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Hospitality & Events,Laundry Attendant,208000,240,United StatesD,United States,New Hampshire,Nashua,8 - 10 years,1 year or less,College degree,Woman
25-34,Computing Or Tech,Product Manager,201000,80000,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Partnerships,200000,40000,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Senior Manager,200000,20000,United StatesD,United States,New York,New York City ,8 - 10 years,2 - 4 years,College degree,Woman
25-34,"Marketing, Advertising & Pr",Seo,200000,0,GBP,United Kingdom,Unknown,Bristol,8 - 10 years,5 - 7 years,College degree,Man
25-34,"Accounting, Banking & Finance",Regulatory Compliance Manager,200000,80000,United StatesD,United States,Iowa,Des Moines,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Health Care,Physician,200000,30000,United StatesD,United States,Louisiana,New Orleans ,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Director Of Product Management,198000,0,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Data Science Manager,197600,20800,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Strategy Consulting,Senior Manager,195000,70000,United StatesD,United States,Texas,Dallas,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Product Manager,194500,35000,United StatesD,United States,California,San Francisco,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Sales,Vice President Of Sales,192000,0,United StatesD,United States,Ohio,Cleveland,8 - 10 years,5 - 7 years,Some college,Man
25-34,Health Care,Country Head Of Market Access,190000,65000,AUD/NZD,Australia,Unknown,Sydney,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Engineering Or Manufacturing,Project Manager,190000,0,AUD/NZD,Australia,Unknown,Sydney,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Principal Software Engineer,187500,5000,United StatesD,United States,Pennsylvania,Pittsburgh,8 - 10 years,5 - 7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Ceo,186000,35000,United StatesD,United States,New York,Rochester,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Software Engineer,185000,112000,United StatesD,United States,New York,"New York, NY",8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Computing Or Tech,Senior Manager Of Software Engineering,185000,30000,United StatesD,United States,New York,NYC,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,"Marketing, Advertising & Pr","Senior Manager, Crm Marketing",185000,18000,United StatesD,United States,"California, Montana","Bozeman, MT",8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Product Design ,183000,0,United StatesD,United States,District of Columbia,DC,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Software Engineer,183000,0,United StatesD,United States,California,Oakland,8 - 10 years,5 - 7 years,Some college,Man
25-34,Computing Or Tech,Privacy Engineer,183000,80000,United StatesD,United States,California,Mountain View,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Senior Software Engineer ,182000,18000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Bunited Statesiness Or Consulting,Associate,180000,35000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,2 - 4 years,PhD,Man
25-34,Computing Or Tech,Director Of Engineering,180000,20000,United StatesD,United States,California,San Francisco ,8 - 10 years,5 - 7 years,Some college,Man
25-34,"Accounting, Banking & Finance",Senior Compliance Manager,180000,60000,AUD/NZD,Australia,Unknown,Sydney,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Director Of Cunited Statestomer Success,180000,0,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Computing Or Tech,Senior Engineering Manager,180000,0,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Agriculture Or Forestry,Senior Product Marketing Manager,180000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Product Manager,180000,0,United StatesD,United States,New York,New York City,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Law,Associate Attorney ,180000,90000,United StatesD,United States,California,Orange County ,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Aws Solutions Architect,175000,50000,United StatesD,United States,New Jersey,New York,8 - 10 years,2 - 4 years,Master's degree,Man
35-44,Law,Lawyer,175000,10000,CAD,Canada,Unknown,Vancouver,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Senior Software Engineer,175000,0,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Art & Design,Product Design Manager,175000,0,United StatesD,United States,Texas,Denton,8 - 10 years,5 - 7 years,College degree,Man
35-44,Pharma/Biotech,Publications Associate Director ,175000,20000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Nonprofits,Managing Director Of Development,175000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Software Developer,175000,195000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,High School,Man
25-34,Computing Or Tech,Senior Machine Learning Engineer,175000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Man
25-34,Biopharma,Chief Of Staff,175000,30000,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Software Engineer ,173000,11688,United StatesD,United States,New York,New York ,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Bunited Statesiness Or Consulting,Manager,173000,15000,United StatesD,United States,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Software Engineer,172500,0,United StatesD,United States,New York,New York City,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Senior Software Engineer,172000,124000,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,High School,Man
25-34,Computing Or Tech,Analytics Manager,172000,30000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Man
25-34,"Accounting, Banking & Finance",Finance Manager,172000,0,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Law,Associate ,170000,15000,CAD,Canada,Unknown,Montreal,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Principal Software Engineer,170000,17000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Senior Product Manager,170000,50000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Senior Researcher,168000,50000,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,5 - 7 years,PhD,Man
25-34,Bunited Statesiness Or Consulting,Senior Associate,168000,27000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Computing Or Tech,Software Engineer,168000,150000,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,2 - 4 years,PhD,Man
25-34,Computing Or Tech,Software Engineer Ii,168000,127500,United StatesD,United States,California,Sunnyvale,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Health Care,Certified Registered Nurse Anesthetist ,165000,7500,United StatesD,United States,Pennsylvania,Philadelphia,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Nonprofits,Deputy Executive Director,165000,0,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Computing Or Tech,Senior Software Engineer,165000,25000,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Software Engineer,165000,0,United StatesD,United States,California,Oakland,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Engineering Manager,165000,0,United StatesD,United States,California,San Francisco,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing Or Tech,Content Designer,164000,35000,United StatesD,United States,California,Menlo Park,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Ux Writer,163000,107000,United StatesD,United States,California,Mountain View,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Senior Consultant,163000,15000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Law,Associate Attorney ,162500,0,United StatesD,United States,Ohio,ColumbUnited States ,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing Or Tech,Data Engineer,162000,8800,United StatesD,United States,Vermont,Burlington,8 - 10 years,2 - 4 years,College degree,Man
35-44,Utilities & Telecommunications,"Analyst, Principal ",161000,20000,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,PhD,Woman
35-44,Computing Or Tech,Director Of Data Science,160000,0,United StatesD,United States,Illinois,Chicago,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Saas Company/Software,Director Of Cunited Statestomer Success Management ,160000,0,CAD,Canada,Unknown,Vancouver,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Lead Systems Engineer,160000,0,United StatesD,United States,Washington,Bellevue,8 - 10 years,5 - 7 years,High School,Man
25-34,Computing Or Tech,Senior Software Engineer,160000,15000,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Bunited Statesiness Or Consulting,"Senior Consultant, Strategy And Analytics ",160000,25000,United StatesD,United States,Texas,HoUnited Stateston,8 - 10 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman
25-34,"Marketing, Advertising & Pr",Associate Brand Director,160000,30000,United StatesD,United States,California,SF Bay Area,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Pharmaceuticals / Biotech,Sr Manager Of Insights,160000,30000,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Computing Or Tech,Bunited Statesiness Intelligence Manager,160000,10000,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Law,Associate Lawyer,158000,15000,CAD,Canada,Unknown,Vancouver,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Law,Legal Counsel,158000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Unknown
25-34,Computing Or Tech,Program Manager,157000,1000,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Manager ,156500,90000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Product Manager,156000,15600,United StatesD,United States,California,San Francisco,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Media & Digital,24 Frame Video Playback,156000,50000,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Information Architect,156000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Entertainment,Storyboard Director,156000,0,United StatesD,United States,California,Los Angeles,8 - 10 years,1 year or less,College degree,Woman
25-34,Health Care,Medical Physicist,155000,1500,United StatesD,United States,Maryland,Baltimore,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Law,Associate,155000,0,United StatesD,United States,North Carolina,Raleigh,8 - 10 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman
25-34,Bunited Statesiness Or Consulting,Consultant,155000,25000,United StatesD,United States,District of Columbia,Washington,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Senior Site Reliability Engineer,155000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Senior Program Manager,155000,50000,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,College degree,Man
25-34,Computing Or Tech,Product Content Lead,155000,0,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Health Care,Project Manager,155000,4500,United StatesD,United States,California,Oakland,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Biotech/Pharma,Program Manager,155000,25000,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Computing Or Tech,Engineering Lead,155000,15500,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Unknown
25-34,Recruitment Or Hr,Recruiting Manager,155000,0,United StatesD,United States,Ohio,Cleveland,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Insurance,Director Of Data Engineering,155000,27000,United StatesD,United States,Unknown,Hartford ,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Senior Data Scientist,154000,145000,United StatesD,United States,Colorado,Boulder,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Property Or Construction,Sr. Project Manager ,154000,23000,United StatesD,United States,Texas,El Paso,8 - 10 years,1 year or less,Master's degree,Unknown
25-34,Computing Or Tech,Senior Software Engineer,152000,45000,United StatesD,United States,Colorado,Boulder,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Computing Or Tech,Process Specialist,152000,53000,United StatesD,United States,California,Bay Area,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Health Care,Ambulatory Care Pharmacist,151810,10000,United StatesD,United States,Georgia,Marietta,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Technical Program Manager,151000,25000,United StatesD,United States,California,San Francisco ,8 - 10 years,5 - 7 years,College degree,Man
25-34,Bunited Statesiness Or Consulting,Senior Associate,151000,10000,United StatesD,United States,New York,New York,8 - 10 years,2 - 4 years,Master's degree,Man
25-34,Computing Or Tech,Software Architect ,150000,0,EUR,Netherlands,Unknown,Rotterdam ,8 - 10 years,5 - 7 years,High School,Man
25-34,"Leisure, Sport & Tourism","Director, Bunited Statesiness Strategy",150000,10000,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Bunited Statesiness Or Consulting,Director Of Research & Strategy,150000,0,United StatesD,United States,Georgia,Atlanta,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Bunited Statesiness Or Consulting,Manager,150000,40000,United StatesD,United States,Georgia,Atlanta,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Computing Or Tech,Data Science,150000,72500,United StatesD,United States,California,San Francisco,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing Or Tech,Manager,150000,15000,United StatesD,United States,Unknown,Remote,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Computing Or Tech,Senior Design Researcher ,150000,0,United StatesD,United States,New York,New York City,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Bunited Statesiness Or Consulting,Managing Consultant,150000,0,United StatesD,United States,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,PhD,Woman
25-34,Transport Or Logistics,Director ,150000,40000,United StatesD,United States,Texas,AUnited Statestin,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Education (Higher Education),Associate Professor,150000,0,United StatesD,United States,Maryland,Annapolis,8 - 10 years,5 - 7 years,PhD,Woman
25-34,Health Care,System Director Of Quality,150000,0,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,"Marketing, Advertising & Pr",Strategy Director,150000,0,AUD/NZD,Australia,Unknown,Sydney,8 - 10 years,5 - 7 years,Master's degree,Woman
35-44,Computing Or Tech,Data Scientist,150000,0,United StatesD,United States,Maryland,Laurel,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Entertainment,Vp Finance,150000,20000,United StatesD,United States,California,Los Angeles,8 - 10 years,5 - 7 years,Master's degree,Woman
25-34,Computing Or Tech,Account Manager,150000,30000,United StatesD,United States,California,San Francisco,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Law,Attorney Advisor,148000,500,United StatesD,United States,District of Columbia,Washington,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing Or Tech,Senior Software Engineer,148000,20000,United StatesD,United States,Washington,Seattle,8 - 10 years,2 - 4 years,College degree,Man
25-34,Law,Attorney,148000,0,United StatesD,United States,District of Columbia,Washington,8 - 10 years,5 - 7 years,"Professional degree (MD, JD, etc.)",Man
25-34,Computing Or Tech,Software Engineer,145000,0,United StatesD,United States,MassachUnited Statesetts,Cambridge,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Art & Design,Senior Product Designer,145000,10000,United StatesD,United States,New York,New York,8 - 10 years,5 - 7 years,College degree,Woman
35-44,Computing Or Tech,Product Manager,145000,8000,United StatesD,United States,Delaware,Wilmington,8 - 10 years,2 - 4 years,PhD,Woman
25-34,Computing Or Tech,Site Reliability Engineer,145000,7000,AUD/NZD,New Zealand,Unknown,Auckland,8 - 10 years,2 - 4 years,College degree,Non-binary
25-34,Engineering Or Manufacturing,Engineer ,145000,80000,United StatesD,United States,California,San Francisco ,8 - 10 years,5 - 7 years,Master's degree,Man
25-34,Retail,Senior Product Manager ,145000,50000,United StatesD,United States,Arkansas,Bentonville,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Data Engineer,145000,0,United StatesD,United States,MassachUnited Statesetts,Boston,8 - 10 years,5 - 7 years,College degree,Man
25-34,Health Care,Senior Software Engineer,145000,20000,United StatesD,United States,Colorado,Denver,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Computing Or Tech,Software Engineer,145000,0,CAD,Canada,Unknown,Toronto,8 - 10 years,5 - 7 years,College degree,Man
35-44,Government And Public Administration,Supervisory Biomedical Engineer,144128,1000,United StatesD,United States,Maryland,White Oak,8 - 10 years,5 - 7 years,PhD,Woman
25-34,"Accounting, Banking & Finance",Corporate Strategy,144000,15000,United StatesD,United States,New York,New york,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Computing Or Tech,Software Development Manager,144000,0,United StatesD,United States,Washington,Seattle,8 - 10 years,11 - 20 years,Master's degree,Woman
25-34,Computing Or Tech,Product Manager,143000,92000,United StatesD,United States,Washington,Seattle,8 - 10 years,5 - 7 years,College degree,Woman
25-34,Government And Public Administration,Team Lead,142950,2000,United StatesD,United States,District of Columbia,Washington,8 - 10 years,2 - 4 years,Master's degree,Woman
