City,Industry,avg_salary
"Greenville ","Bunited Statesiness Or Consulting",0
Greenwood,"Public Library",36067
Groton,"Engineering Or Manufacturing",94000
"Grove City (100% remote)","Media & Digital",91000
Guelph,"Agriculture Or Forestry",82000
Guelph,Sales,30000
Guildford,"Education (Higher Education)",33000
Hagerstown,"Art & Design",50000
"Haikou Hainan","Education (Primary/Secondary)",250000
Halesowen,"Computing Or Tech",40000
Halifax,"Computing Or Tech",90000
Halifax,"Recruitment Or Hr",73320
Halifax,Nonprofits,52000
Halifax,"Education (Higher Education)",51500
Halifax,Law,50000
Halifax,"Social Work",48000
Halifax,"Bunited Statesiness Or Consulting",45700
Hamburg,Entertainment,50000
Hammond,"Education (Primary/Secondary)",42000
Hampton,"Education (Primary/Secondary)",48000
Hampton,Nonprofits,27000
Hannibal,"Transport Or Logistics",38771
Hanover,"Education (Higher Education)",62000
"Harlingen, TX (Remote Work)","Computing Or Tech",60000
Harrisburg,"Bunited Statesiness Or Consulting",85000
Harrisburg,"Computing Or Tech",79000
Harrisburg,"Government And Public Administration",63000
Harrison,"Transport Or Logistics",58000
"Harrisonburg, VA","Education (Higher Education)",34000
hartford,"Education (Higher Education)",138000
Hartford,"Media & Digital",115000
Hartford,"Computing Or Tech",96900
Hartford,"Health Care",87000
Hartford,Insurance,86000
Hartford,Law,61000
Hartford,Nonprofits,48000
Hartford,"Art & Design",45000
"Hartford ",Insurance,155000
hazlet,"Health Care",37400
Helena,Nonprofits,51400
Helena,"Law Enforcement & Security",34944
Helena,"Education (Primary/Secondary)",32000
Helsinki,"Computing Or Tech",64000
Helsinki,"Government And Public Adminisraeltration",40000
Henderson,Manufacturing,78000
Henderson,"Health Care",68000
Herndon,"Computing Or Tech",85000
Herndon,"Bunited Statesiness Or Consulting",63000
Hersey,"Social Work",28000
Hillsboro,"Engineering Or Manufacturing",108306
Hiroshima,"Education (Higher Education)",6000000
"Hong Kong ","Marketing, Advertising & Pr",102028
Honolulu,"Education (Primary/Secondary)",80000
"HoUnited Stateston",Insurance,140000
"HoUnited Stateston","Clinical Research",126000
"HoUnited Stateston","Computing Or Tech",107500
"HoUnited Stateston",Energy,107000
"HoUnited Stateston","Bunited Statesiness Or Consulting",105300
"HoUnited Stateston","Recruitment Or Hr",95220
"HoUnited Stateston","Accounting, Banking & Finance",81100
"HoUnited Stateston",Sales,72500
"HoUnited Stateston","Education (Higher Education)",59500
"HoUnited Stateston","Education (Primary/Secondary)",58000
"HoUnited Stateston",Nonprofits,50076
"HoUnited Stateston","Transport Or Logistics",49000
"HoUnited Stateston",Law,30000
"HoUnited Stateston","Hospitality & Events",29120
"HoUnited Stateston TX","Health Care",65000
Howell,Insurance,46000
"Hoyt Lakes","Government And Public Administration",95000
"Huntington Station ","Engineering Or Manufacturing",58000
Huntsville,Entertainment,3600000
Huntsville,"Engineering Or Manufacturing",97500
Huntsville,"Media & Digital",90000
Huntsville,"Federal Contracting/Bunited Statesiness Development",70000
Huntsville,"Transport Or Logistics",70000
Huntsville,"Accounting, Banking & Finance",40000
"Huntsville ","Government And Public Administration",29998
"Huntsville but company is in Eufaula","Education (Primary/Secondary)",44200
Hyannis,"Accounting, Banking & Finance",35000
Hyattsville,Law,60593
"I WFH full time for a remote organization (pre-pandemic)","Marketing, Advertising & Pr",92000
"I work remotely with clients across the country","Accounting, Banking & Finance",65000
"I'm sorry, I'd rather not say. But Alberta in Canada.","Government And Public Administration",74000
Indianapolis,Pharma,122000
Indianapolis,Unknown,115000
Indianapolis,"Health Care",84000
Indianapolis,Law,80000
Indianapolis,"Hospitality & Events",66950
Indianapolis,"Education (Higher Education)",55000
Indianapolis,Nonprofits,51633.33
Indianapolis,"Munited Stateseums",49000
Indianapolis,"Government And Public Administration",45900
"Indianapolis ","Computing Or Tech",99400
"Indianapolis ","Accounting, Banking & Finance",77000
"Indianapolis ","Health Care",72000
"Indianapolis ",Insurance,67600
"Indianapolis ","Property Or Construction",50000
"Indianapolis ",Retail,47000
"Indianapolis ","Marketing, Advertising & Pr",43680
Inwood,"Wholesale Trade",50000
"Iowa City","Education (Higher Education)",67000
"Iowa City","Social Work",51000
"Iowa City",Nonprofits,29700
Irvine,"Recruitment Or Hr",106600
Irvine,"Computing Or Tech",102500
Irvine,"Engineering Or Manufacturing",75000
Irvine,Nonprofits,67000
Irvine,Law,37200
Irving,Energy/Oil,62000
Irving,"Warehounited Statese- Food And Beverage ",47500
Islip,"Engineering Or Manufacturing",68000
Itasca,"Computing Or Tech",132000
Itasca,"Transport Or Logistics",47000
Ithaca,Nonprofits,72000
Ithaca,"Education (Higher Education)",53500
Jackson,"Engineering Or Manufacturing",98000
Jackson,"Health Care",36500
"Jackson Center ","Engineering Or Manufacturing",60000
Jacksonville,"Art & Design",32240
Jamestown,"Engineering Or Manufacturing",52000
Jamestown,Nonprofits,32000
"Jefferson City","Computing Or Tech",110000
Jeffersonville,"Health Care",17000
"Jeffersonville ","Health Care",67000
Jenkintown,"Recruitment Or Hr",44720
"Jersey City","Computing Or Tech",133000
"Jersey City ","Transport Or Logistics",42000
"Johns Creek",Unknown,49000
"Johnson City",Librarian,45700
Joliet,"Transport Or Logistics",56000
Jonesboro,"Education (Higher Education)",55000
Juneau,Nonprofits,72000
Kalamazoo,"My Company Sells & Services Variounited States Types Of Printers, Mostly Kyocera.",35000
"Kansas City","Engineering Or Manufacturing",70000
"Kansas City","Computing Or Tech",65000
"Kansas City","Real Estate Investment Support",63000
"Kansas City","Art & Design",56000
"Kansas City",Law,55000
"Kansas City ","Health Care",67250
Kelowna,Retail,58000
Kennesaw,"Education (Higher Education)",40768
"Kent ",E-Commerce,68000
"Key West",Aviation,28700
"Kilkenny ",Nonprofits,33500
Kingsport,"Hospitality & Events",36088
Kiruna,Retail,350000
Kitchener,"Public Library",59000
Kitchener,"Accounting, Banking & Finance",54000
Kitchener,"Education (Higher Education)",50200
Kitchener,"Costruction Admin",38000
Kitchener,"Health Care",33280
"Kitchener Waterloo ","Computing Or Tech",75000
"Kitchener, ON","Computing Or Tech",120000
Knoxville,"Recruitment Or Hr",73500
Knoxville,"Marketing, Advertising & Pr",52000
Knoxville,"Education (Higher Education)",50541.5
Knoxville,"Government And Public Administration",48000
Knoxville,Retail,42500
"Knoxville ",Sales,75000
Kraków,"Marketing, Advertising & Pr",72000
"La Crosse",Unknown,55000
"La Grande","Engineering Or Manufacturing",72000
"La Quinta","Government And Public Administration",31000
"La Vergne","Engineering Or Manufacturing",50000
Lafayette,"Accounting, Banking & Finance",76000
Lafayette,Retail,21000
"Lafayette ",Insurance,42000
"Lake Buena Vista",Retail,32240
"Lake Forest","Computing Or Tech",108000
"Lake Mary","Leisure, Sport & Tourism",51200
"Lake Orion",Insurance,228800
Lancashire,"Agriculture Or Forestry",19200
Lancaster,"Bunited Statesiness Or Consulting",85000
Lancaster,"Engineering Or Manufacturing",36000
Lansing,"Government And Public Administration",73000
Lansing,"Education (Higher Education)",56750
"Lansing ","Hospitality & Events",56000
"Las Vegas","Art & Design",85000
"Las Vegas","Computing Or Tech",70500
"Las Vegas","Recruitment Or Hr",70000
"Las Vegas",Nonprofits,53000
Laurel,"Computing Or Tech",150000
Lawrence,Nonprofits,33000
Leawood,"Marketing, Advertising & Pr",70000
"Lee's Summit ","Media & Digital",48000
Leeds,Retail,38000
Leeds,Law,26000
leeds,"Accounting, Banking & Finance",26000
Leeds,"Education (Higher Education)",26000
Leeds,"Health Care",21500
Lehi,"Computing Or Tech",53135.5
"Lehigh Valley","Engineering Or Manufacturing",105000
"Lehigh Valley","Transport Or Logistics",47840
Leicester,Law,22800
Lethbridge,"Health Care",40000
Lewiston,Nonprofits,35000
Lexington,"Bunited Statesiness Or Consulting",94000
Lexington,"Computing Or Tech",62000
Lexington,"Education (Higher Education)",50500
Lexington,Insurance,46000
Lexington,"Health Care",44096
"Lexington Park",Nonprofits,0
Liberty,"Health Care",66650
"Lincoln ","Health Care",94500
Linden,Law,33200
Lisle,Law,130000
Liverpool,"Marketing, Advertising & Pr",30000
"Liverpool ","Education (Higher Education)",35000
Lockport,Sales,24000
Lodi,"Funeral Service ",33280
London,Insurance,108000
London,"Education (Primary/Secondary)",82000
London,"Computing Or Tech",73648.21
London,"Engineering Or Manufacturing",67816.67
London,"Food Production",65000
London,"Accounting, Banking & Finance",61500
London,"Utilities & Telecommunications",60000
London,"Property Or Construction",58000
London,"Hospitality & Events",54250
London,"Government And Public Administration",51525
London,"Education (Higher Education)",50430.5
London,"Bunited Statesiness Or Consulting",45500
London,"Marketing, Advertising & Pr",43500
London,"Recruitment Or Hr",42333.33
London,"Social Work",41607
London,Biologist,37000
London,Nonprofits,36399.5
London,Sales,36000
London,Conservation,36000
London,"Media & Digital",35400
london,"Art & Design",25000
London,"Health Care",23500
"London ","Computing Or Tech",71000
"London ",Nonprofits,46000
"London, UK",Nonprofits,35000
"Long Beach","Engineering Or Manufacturing",102000
"Long Island",Library/Archives,62400
"Long Island",Insurance,55300
"Los Alamos","Government And Public Administration",118392
"Los Angeles",Law,190375
"Los Angeles","Health Care",149500
"Los Angeles","Computing Or Tech",114119.11
"Los Angeles","Transport Or Logistics",112320
"Los Angeles","Government And Public Administration",111833.33
"Los Angeles",Entertainment,105110
"Los Angeles","Marketing, Advertising & Pr",95500
"Los Angeles","Bunited Statesiness Or Consulting",91800
"Los Angeles","Engineering Or Manufacturing",85000
"Los Angeles","Accounting, Banking & Finance",83000
"Los Angeles","Media & Digital",80000
"Los Angeles",Insurance,75000
"Los Angeles",Retail,75000
"Los Angeles",Nonprofits,68800
"Los Angeles","Art & Design",66500
"Los Angeles","Clinical Research ",58500
"Los Angeles","Education (Higher Education)",54800
"Los Angeles","Law Enforcement & Security",48000
"Los Angeles ","Beauty /Cpg ",131000
"Los Angeles ","Marketing, Advertising & Pr",120000
"Los Angeles ",Nonprofits,80000
"Los Angeles ","Computing Or Tech",75000
"Los Angeles ","Utilities & Telecommunications",66560
"Los Angeles ",Entertainment,54000
"Los Angeles ",Sales,16000
"Los Angeles County","Computing Or Tech",123000
Louisville,"Accounting, Banking & Finance",77500
Louisville,"Utilities & Telecommunications",69000
Louisville,"Hospitality & Events",67000
Louisville,"Health Care",64107.5
Louisville,"Education (Higher Education)",51900
Louisville,"Media & Digital",50000
"Louisville ","Marketing, Advertising & Pr",36500
"Louisville, KY","Recruitment Or Hr",60500
Loveland,"Agriculture Or Forestry",85000
Lowell,"Computing Or Tech",103500
Lowell,"Education (Higher Education)",77500
lowell,"Transport Or Logistics",68000
"Lower Hutt, Wellington","Health Care",65000
"Lutherville ","Health Care",50000
Lynnwood,"Engineering Or Manufacturing",89401
Madison,"Computing Or Tech",431400
