"Job Title",total_compensation
"Facilities Mechanical Engineer",256612
"Head Of Devops",256000
"Manager, Actuarial",256000
"Quality Engineer",255700
"Associate Marketing Manager ",255200
"Director Of Donor Relations & Communications ",255000
"Control & Risk Management Manager ",255000
"It Manager, Service Desk And Deskside Support",254000
"Credit Analyst",254000
"Data Analytics Manager ",253000
"Data Analytics Engineer",253000
"Web Developer",253000
"Sr. Consulting",252000
"Product Architect",252000
"Special Education Teacher ",251434
"Regulatory Compliance Advisor",250800
Biostatistician,250200
"Vice President Of Operations",250000
"United States Trademark Attorney",250000
"Senior Director ",250000
"Senior Biostatistician ",250000
"Web Marketing Manager",250000
"Director Of Product",250000
"Lead Product Writer",250000
"Global Financial Crimes Director ",250000
"Revenue Operations Analyst ",250000
"R&D Engineer",250000
"Principal Software Engineer ",248000
"Senior Pharmacy Financial Consultant",248000
"Director Of Research And Strategy",248000
"Research Consultant",248000
"Program Director ",246500
"Ux Research Director ",246000
"Diversity Manager",246000
"Clinical Laboratory Scientist",246000
"Policy Analyst ",246000
"Competent Authority Analyst",245060
"Development Associate",244780
"Director Of Client Success",244000
"Bunited Statesiness Operations (Data Analyst)",244000
"Director Of Accounting And Finance",244000
"Risk Manager",242935
"Statistics Supervisor",242040
"Management Consultant",242000
"Facilities Manager",242000
"Senior Accountant",241417
"Grants Administrator",240924
"Group Lead",240500
"Management Analyst",240200
"Freelance Copywriter",240000
"Ios Developer",240000
"Assistant Prof",240000
"Executive Officer",240000
"Senior Physical Scientist",240000
"Director Of Cybersecurity",240000
"Communications Analyst",240000
Sales,240000
"Software Architect",240000
"Associate Director, Finance Operations",240000
"Senior Investor Relations Analyst ",240000
"Front End Software Engineer",240000
"Cloud Engineer",240000
"Accessibility Consultant",240000
"Geriatrician ",240000
"Service Delivery Manager",240000
"Staff Attorney ",239000
"Associate Brand Manager",238000
"Accountant ",238000
"Information Security Architect",237000
"R&D Engineer Ii",236784
"Technology Strategist",236000
"Lawyer / Public Servant",236000
"Senior Manager, Marketing Strategy",236000
"Financial Systems Manager",236000
"Senior Engineer ",236000
"Technology Manager",236000
"Financial Analyst",235000
"Senior Manager, Communications ",234664
"Strategic Sourcing Manager",234000
"Recruiting Lead",233200
"Senior Advisor, Decision Support",233000
"Sales Operations Manager ",232000
"Legal Assistant",230020
"Direct Response Copywriter",230000
"Financial Systems Analyst",230000
"Director, Program Implementation",230000
"Executive Communications Manager",230000
"Director Of Guest Experience",230000
"Managing Director Data Science And Analytics ",230000
"Senior Electrical Engineer",230000
"Sr Project Manager ",230000
"Sales Compensation Analyst",230000
Producer,229200
"Foreign Affairs Officer",228118
"Sr Associate/ Program Officer",228000
"Associate Consultant",228000
"Director Of Research & Market Strategy",226800
"Project Accountant",226650
"Deputy Counsel",226000
"Senior Mechanical Engineer",226000
"Management & Strategy Consltant",226000
"Director Of Supply Chain",226000
"Principal Product Manager",226000
"Real Estate Attorney",226000
"Sr. Information Security Officer",225100
"Speech Language Pathologist",224640
"Software Engineer Intern",224640
"Assistant Principal",224000
Veterinarian,224000
" Controller ",224000
"Senior Insights Manager",224000
"Development Coordinator",223400
"Academic Librarian",223000
"Creative Producer",222400
"Underwriting Manager",222000
"Project Officer",222000
"Infection Preventionist",222000
"Lead Data Strategist",222000
"Executive Director Home Health",222000
"Data Statistician",221406
"Senior Regulatory Affairs Specialist",220200
"General Manager Of Fulfillment ",220000
"Senior It Training Specialist",220000
Controller,220000
"Freelance Videographer ",220000
"Associate Director Of Analytics",220000
"Cunited Statestomer Account Manager ",220000
"Director Of Organizational Operations",220000
"Data Visualization Consultant",220000
"Senior Community Management ",220000
"Procurement Manager",220000
"Senior Project Consultant ",219000
"Senior Program Manager ",218000
"Senior Cyber Security Consultant",218000
"Senior Regulatory Affairs Associate",218000
"Bunited Statesiness Consultant",218000
"Assistant Vice President",218000
"Ecommerce Marketing Director",218000
"Area Coordinator ",217592
"United Stateser Experience Researcher Iii",217350
"Senior Editor",217336
"Transit Planner",216000
"Operations Branch Chief",216000
"Consultant / Project Manager",216000
"Ediscovery Specialist",216000
"Management Consultant (Public Sector)",216000
"Supplier Quality Engineer",215600
"Informatics Section Manager",215000
"Director Of Policy",214000
"Sr. Bunited Statesiness Analyst",214000
Biologist,214000
"Senior Advisor, Data Science",212320
"Scientific Grants Management ",212000
"Team Lead, Etl Specialist",212000
"Bsa Manager",212000
"Senior Revenue Operations Analyst ",212000
"Office Manager ",212000
"Director Of Public Policy & Government Affairs",211600
"Financial Management Analyst",210000
"Salesforce Administrator ",210000
"Proposal Manager",210000
"Senior Consultant/Human Capital Consultant",210000
"Manager, Occupational Health And Safety",210000
"Fp&A Manager",210000
"Recruiting Coordinator",210000
"National Operations Manager",210000
"Mechatronics Engineer",210000
"Planning Manager ",209220
"Brokerage Risk Specialist",209000
"Medical Affairs Specialist Ii",209000
"Hr Coordinator",208600
"Sr. Communications And Outreach Strategist",208000
"Budget And Policy Analyst",208000
"United Stateser Experience Researcher & Designer ",208000
"Occupational Health And Safety Manager",207380
"Senior Project Manager ",206400
"Senior Salesforce Analyst",206144
"Senior Hris Analyst",206000
"Human Factors Engineer",206000
"Quality Manager, Testing Captain, Team Lead",206000
"Software Engineer 2 Lead",206000
"Grants Management Specialist",205760
"Program Managerm, Training",205400
"Telecommunicator Iv",205100
"Philanthropy Manager",205000
"Director Of Program",205000
"Sales Operations Program Manager",204600
"Civil Rights Lawyer",204000
"General Engineer",204000
"Research Director",204000
"It Bunited Statesiness Consultant",204000
"Manager Of Client Services",204000
Cpa,204000
"Loss Prevention Manager",204000
"Department Manager",204000
"North American Service Quality Manager",203840
"Instructional Systems Specialist",202720
"Staff Accountant",202400
"Senior Ux Developer",202000
"Clinical Trial Associate ",202000
"Mechanical Engineering ",202000
"Human Resources Director",202000
"Financial Analyst Iii",201880
"Contact Tracer",201270
"Paralegal Specialist ",201060
"Revenue Agent",201000
"Senior Bunited Statesiness Intelligence Analyst",200000
"Implementation Consultant",200000
"Senior Art Director Design",200000
"Senior Project Planner",200000
"Marketing And Communications Manager",200000
Engineer,200000
"Tax Specialist",200000
"Office Manager/Pa To Ceo",200000
"Director Of Events",200000
"Commercial And Finance Manager",200000
"Team Manger, United Stateser Services",200000
"Community Manager",200000
"Bid Writer",200000
"Brand Manager",200000
"Salesforce Consultant",198000
"Materials Engineer",198000
"Senior Tax Accountant",197400
"Equity Coordinator",197000
"Human Resources: Talent And Learning",197000
"Sr. Analyst",196000
"Senior Bunited Statesiness Analyst",196000
"Senior Policy Analyst",196000
"Data Insights Analyst",196000
"Research Scientist, Senior-Level",196000
Np-Phc,196000
"Proposals & Marketing Manager",196000
"Conversion Optimization Specialist",196000
"Group Manager",196000
"Director Of People Operations",196000
"Infrastructure Engineer",195800
"Design Thinking Strategist",195000
"Associate Director Hr",195000
"Senior Gis Analyst",194000
"Director Of Research",194000
"Audio Editor",194000
"Senior Bunited Statesiness Systems Analyst",194000
"Sr. Cunited Statestomer Success Manager",193000
"Food Technologist",192600
"Regulatory Operations Associate",192500
"Division Assistant Administrator",192000
"Senior Learning Advisor",192000
"Manager Of Simulation Training",192000
"Social Science Researcher",192000
"Process Improvement Consultant ",192000
"Assistant Librarian",192000
"Senior Operations Manager",191800
"System Safety Specialist",191136
"Clinician Recruiter",190440
"Senior Internal Auditor",190000
"Senior Marketing Manager ",190000
"Email/Marketing Automation Technologist",190000
"Contractor ",190000
"Vp Of Communication",190000
"City Administrator",190000
"Veterinarian ",190000
"Senior Structural Engineer",190000
"Cyber Security Engineer",190000
"Design Director",190000
"Senior Geochemist ",190000
"Senior Scrum Master",190000
"Senior Digital And Marketing Specialist",190000
Developer,190000
"Data Protection Manager",190000
"It Recruiter",190000
"Leadership Development Consultant",190000
"Senior Financial Operations Analyst",189200
"Sr Bunited Statesiness Analyst",189000
"Global Data Team Leader",189000
"Senior Associate Scientist",188000
"Global Mobility Program Manager",188000
"Sales Rep",188000
"Senior Events Planner",188000
"Senior Research Analyst ",188000
"Senior Linguist",187254
"Senior Bunited Statesiness Analytics Analyst",186950
"Genetic Counselor",186000
"E-Commerce Merchandising Specialist",186000
"Lead Instructional Desinger",186000
"Dialysis Clinic Manager",186000
"Senior Ecologist",186000
"Public School Teacher",185486
"Lead Functional Analyst ",185340
"Executive Search Associate/Consultant",185000
"Learning And Development Specialist",185000
"Cost & Pricing Officer",184000
Officer,184000
"Major Gifts Officer",184000
"Contract Branch Manager",184000
"Market Development Rep ",184000
"Senior Product Specialist",183000
"Assistant Director Of Finance",182000
"Associate Director - Financial Operations ",182000
"Production Planner Iii",182000
"Design Project Manager",182000
"Agency Attorney",182000
"Senior Manager Of Employee Success",182000
"Software Tester",182000
"Chef And Recipe Developer",181500
"Strategic Policy Advisor",181160
"Process Specialist Iii",181000
"Store Manager",181000
"International Relations Specialist",180612
"Test Engineer 2",180402
"Pension Administrator",180400
Scientist,180400
"Digital Preservation Specialist",180212
"Content Director",180000
"Frontend Software Engineer",180000
"Assistant Library Director",180000
"Hr M&A",180000
"Cro Manager",180000
"Senior Digital Product Manager",180000
"Registered Psychotherapist ",180000
Compositor,180000
"Squad Leader",180000
"Digital Designer",180000
"Marketing And Bunited Statesiness Development Manager",180000
"Physician Assistant ",180000
"Dod Financial Analyst Consultant",180000
"Senior Media Strategist",180000
"Communication Officer",180000
"Senior Auditor 2",179400
"Assistant Store Manager",179400
"Peoplesoft Developer",179000
"Assistant District Attorney",178940
"Environmental Engineer",178920
"Ux Engineer",178726
"Crime Data Analyst",178340
"Market Research Manager",178000
"Director Of Ecommerce",178000
"Practice Administrator",178000
"Director Of Marketing ",178000
"Senior Quality Assurance Analyst",178000
"Digital Marketing Strategist",178000
"Development Officer",178000
"Function Developer ",176000
"Quality Systems Manager",176000
"Senior Campaign Writer",176000
"Foia Analyst",176000
"Data Visualization Developer",176000
"Senior Operations Associate ",176000
"Technology Training Manager",176000
"Compensation Manager",176000
"Merchandising Lead ",176000
"Tax Manager",176000
"Crm Analyst",175100
"Math Specialist",175000
"Marketing Automation Developer",175000
"Senior Tax Associate",174800
"Staff Writer",174400
"Talent Specialist",174396
"Benefits Program Manager",174000
"Digital Marketing Analyst",174000
"Integrated Campaign Manager",174000
"State Policy Analyst",174000
"Podcast Producer ",174000
"Associate Director, Culture And Talent",174000
"Appellate Attorney",173000
"Proposal Specialist",173000
"Channel Development Manager",173000
"Nuclear Security Programs Lead",173000
"Manager Of Technical Editing",172500
"Senior Paralegal ",172400
"United States Service Delivery Team Lead",172000
"Communications Advisor",172000
"Medical Librarian ",172000
"Strategic Operations Manager",172000
"Digital Content Developer",172000
"Director, Advertising Compliance And Forms Design",172000
"Office Admin Manager",171600
"Office Manager And Hr Generalist",171500
"Payroll & Benefits Analyst",171320
"Program Manager Iii",171200
"Reinsurance Manager",171000
"Assistant Project Manafer",170000
"Salesforce Administrator",170000
"Seo Supervisor",170000
"Mental Health Outpatient Therapist ",170000
"Senior Manager, Learning And Development",170000
"Human Resources Advisor",170000
"Assistant Director Of Faculty Programs",170000
"Records Management Specialist",170000
"Epic Credentialed Trainer",170000
"Student Services Officer",170000
"Senior Policy Counsel",170000
"Grants Administrator ",170000
"Fabricator ",170000
"Licensed Social Worker ",170000
"Chief Of Staff ",170000
"Director Of Hr",170000
"Public Affairs Consultant",170000
"Senior Analyst ",170000
"Sr. Training Consultant",170000
"Bunited Statesiness Development Manager ",170000
"Executive Director",169360
"Medical Writer",169000
"Experienced Senior Auditor",168000
"Safety Manager",168000
"Senior Talent Management Specialist",168000
"Web Content Manager",168000
"Executive Assistant To Agency Head",168000
"Mapping Lead",168000
"Sr Inventory Accountant",167000
"Director Of Institutional Giving",166000
"Assistant Director Of Communications And Partnerships",166000
"Data Strategist",166000
"Senior Associate Director Of Talent ",166000
Architect,166000
"Partnerships Manager",166000
"Deputy Director",165360
"(State Agency) Legislative Director",165200
"Office & Building Manager",165000
"Manager Of Service Development",165000
"Accounting Analyst ",165000
"Donor Relations Manager",164250
"Technical Editor",164000
Psychometrist,164000
"Senior Coordinator, Fundraising Analytics",164000
"Administrative Assistant ",163400
"Computer Systems Analyst",163000
"Cunited Statestodian Of Records",163000
"Senior Integration Management Analyst",163000
"Hr Bunited Statesiness Analyst",162800
"Network Manager",162800
"Senior Clinical Nurse Ii",162000
"Software Quality Assurance And Release Manager",162000
"Water Resources Manager",162000
"Exhibitions Manager",162000
"Ip Paralegal",162000
"Training Director",162000
"Manager Of Institutional Funding",162000
"Operations Engineer",162000
"Medical Illunited Statestrator",162000
"Supervisor Of Judicial Programs",162000
"Marketing Programs Specialist",162000
"Credit Department Manager",162000
"Environmental Health Specialist Ii",161782
"Associate Capital Program Analyst",161400
"Auditor Iii",161000
"Web Product And Content Manager",160500
"Interior Designer",160500
Hydrogeologist,160400
"Lab Manager",160000
"Hr And Compensation Analyst",160000
"Logistics Manager",160000
"Financial Analyst ",160000
"It Specialist (Sys Admin)",160000
"Automotive Technician ",160000
"Director Of Audience Engagement ",160000
"Patent Prosecution Paralegal",160000
"Manager Of Clinical Referrals",160000
"Bunited Statesiness Representative",160000
Bcba/Lba,160000
"It Bunited Statesiness Analyst",160000
"Chief Operations Officer",160000
"Bi Analyst",160000
"Regional Coordinator",160000
"It Specialist",160000
"Munited Statesic Promoter",160000
"Sr Communications Specialist",160000
"Operations (Other)",160000
"Environmental Health Specialist Iv",159438
"Assistant Production Manager",159000
"Senior Advisor",158000
"Claims Representative ",158000
"Health Equity / Public Health Manager",158000
"Engineering Geologist",158000
"Research Librarian",157000
"Gis Coordinator",156200
Underwriter,156200
"Assistant Director, Admissions",156000
"Staff Services Manager Ii",156000
"Senior Manager, Partnerships And Initiatives",156000
"Exec Assistant",156000
"Clinical Psychologist",156000
"Govt Counsel",156000
"Ui/Ux Designer",156000
"Assistant Director Of Research",156000
"Enablement Manager",156000
"Management Analyst - Grant Development",155532
"Podcast Editor",154000
"Solutions Engineer ",154000
"Emergency Management Advisor",154000
"Education Program Specialist",154000
"Talent Relations Manager",154000
"Communications Officer",154000
"Manager Of Community Relations",154000
"Ip Paralegal/Technical Librarian",153994
"Administrative Officer",153527
"Social Worker ",153207
"Learning Specialist",153000
"Compliance Officer",153000
"Consultant Ii",152500
"Project Manager, Real Estate Development",152000
"Post Doctorate Researcher",152000
"Fuel Efficiency Program Analyst",152000
"Research Scientist ",152000
"Support Manager",152000
"Hospital Social Worker",152000
"Library Media Specialist",152000
"Financial Officer",152000
"Account Supervisor",152000
"Director Of Digital Media",151200
"Lead Gift Analyst",150600
"Public Affairs Specialist",150352
"Strategic Marketing Supervisor ",150228
"Student Engagement Officer",150000
Sdet,150000
"Gis (Geographic Information Systems) Manager",150000
"Teaching And Learning Librarian / Coordinator Of Reference Services",150000
"Seo Specialist",150000
"Global Digital And Social Media Hr Manager ",150000
"Full Service Bookkeeper",150000
"Sr. Project Coordinator ",150000
"Assistant Director Of Major Gifts",150000
"Library Assistant",148720
"Technical Writer ",147500
"Cunited Statestomer Support Manager",144000
"Bunited Statesiness Intelligence Analyst",141488
"Grants Manager",140750
"Occupational Therapist",138500
"Operations Director",137400
"Logistics Coordinator",136671
"Contracting Manager ",136000
"Assistant Director ",135850
Payroll,134000
"Office Administrator",133440
"Cunited Statestomer Service Representative",131800
"Youth Services Librarian",131600
Operations,130383
"Hr Analyst",130000
"Event Manager",129200
"Senior Designer",127000
"Talent Acquisition Coordinator",127000
"Social Media Manager",125000
"Adult Services Librarian",123000
"Clinical Supervisor",121500
"Assistant Director Of Education",120800
"Registered Dietitian ",116700
Therapist,116000
Dispatcher,113915
"Administrative Specialist",113500
"Coordinator ",113000
"Associate Director Of Annual Giving",113000
"Branch Manager",110330
"Bid Manager",110000
"Research Manager",109017
Postdoc,108000
Accountant,107500
"Bunited Statesiness Operations Analyst",107278
"Reference Librarian",106045
"Tax Accountant",105300
"Acquisitions Editor",104500
"Hr Advisor",104500
"Alliance Manager",104400
"Paralegal ",103760
Translator,100700
"Treasury Management Sales Officer",100000
"Assistant Planner",100000
"Shop Leader",100000
"Care Manager",100000
"Communications Director",98000
"Library Associate",98000
"Medical Staff Representative",97760
"High School Teacher",97500
"Support Specialist",97170
"Operations Coordinator",96800
"District Manager",96500
"Quote Team Client Service Manager",96500
"Accounting Clerk",95940
"Employment Services Specialist",95183
Bookkeeper,94600
"Financial Aid Counselor",91083
"Financial Planner",90000
"Administration Manager",89500
"Frontend Web Developer",89000
"Multimedia Specialist",88500
"Homeroom Teacher",85000
"Conventional Mortgage Underwriter ",85000
"Associate - Financial Reporting",85000
"Content Development Manager ",84618
"High School English Teacher",84500
"Treasury Analyst",84500
"Design Engineer",84000
Buyer,83000
"Compliance Associate ",82500
"Senior Brand Manager",82500
"Associate Editor",81200
"Supplier & Subcontractor Program Manager ",81000
"Instructional Design Consultant ",81000
"Operations Coordinator ",80479
"Web Production Manager",80300
"Risk Operations Analyst",80000
"Client Partner",80000
"Event Coordinator",80000
"Letter Carrier",80000
"Associate Project Manager ",80000
"Team Member",80000
"Facility Manager ",80000
"Environmental Scientist",79000
"Production Coordinator",79000
"Director Of Peo Human Resources",78500
"Loan Processor",78000
